"","peptide_id","TE.fixed","seTE.fixed","lower.fixed","upper.fixed","zval.fixed","pval.fixed","TE.random","seTE.random","lower.random","upper.random","zval.random","pval.random","Q","tau","H","I2","fdr.fixed","fdr.random","Rand_Sig","Direction"
"1","A1BG|P04217",-0.114308713222213,0.377382520387459,-0.853964861576585,0.62534743513216,-0.30289880173796,0.761966984559993,-0.114308713222213,0.377382520387459,-0.853964861576585,0.62534743513216,-0.30289880173796,0.761966984559993,0,NA,NA,NA,0.860275043738627,0.877721302991083,"NO","NONE"
"2","A2M|P01023",0.237817509556914,0.0946762881189984,0.0522553946537402,0.423379624460089,2.51190149383552,0.0120082602725329,0.123330740150374,0.186182895960665,-0.241581030469897,0.488242510770645,0.662417132970315,0.507703926509067,9.1445695419488,0.301341903995388,1.74590659753501,0.671936444221007,0.0411550688078526,0.713852586938597,"NO","NONE"
"3","AAK1|Q2M2I8",-0.741908525350115,0.0977403570919885,-0.933476105086497,-0.550340945613734,-7.59060584004074,3.18413175619241e-14,-0.798927955397135,0.236899846753006,-1.26324312297608,-0.334612787818186,-3.3724291777618,0.000745082458793806,12.1530354126611,0.40825318561345,2.01271254883065,0.75314809032198,1.54552856781339e-12,0.00627792772031161,"YES","DOWN"
"4","AARS|P49588",0.431151985818744,0.0956261428600826,0.2437281898325,0.618575781804988,4.5087250507384,6.52183635671504e-06,0.355016099412306,0.201348139006651,-0.0396190013948939,0.749651200219505,1.76319533502408,0.0778675503102884,13.1774400510793,0.336378430238859,2.09582442418883,0.772338178859385,5.56994577201493e-05,0.222356683345104,"NO","NONE"
"5","AARSD1|Q9BTE6",-0.018280074825195,0.0940453473534727,-0.202605568551561,0.166045418901171,-0.194375110939713,0.845882176845133,-0.0207278949653337,0.122779333367505,-0.26137096641148,0.219915176480812,-0.168822344907923,0.865936381900287,4.07635514531994,0.142519090758245,1.16566935639571,0.264048422413759,0.913263285609032,0.934204542707396,"NO","NONE"
"6","AASDHPPT|Q9NRN7",-0.100771803683695,0.0939765947669591,-0.28496254481665,0.0834189374492601,-1.07230746052873,0.283581956927255,-0.100771803683695,0.0939765947669591,-0.28496254481665,0.0834189374492601,-1.07230746052873,0.283581956927255,1.57661399911288,0,1,0,0.463442282989893,0.513049357562879,"NO","NONE"
"7","ABAT|P80404",-0.0560774034068543,0.0947644375796283,-0.24181228807812,0.129657481264411,-0.591755777157796,0.554014140237465,0.0258943955531318,0.226000181981308,-0.417057821629729,0.468846612735993,0.114576879213635,0.908780506711221,17.7545470416817,0.392172885367178,2.43273145809957,0.831029200972742,0.717011463630029,0.957875452886942,"NO","NONE"
"8","ABCA2|Q9BZC7",-0.303257031341214,0.379462456039513,-1.04698977866377,0.440475715981346,-0.799175324237177,0.424188757964878,-0.303257031341214,0.379462456039513,-1.04698977866377,0.440475715981346,-0.799175324237177,0.424188757964878,0,NA,NA,NA,0.609556669150441,0.653115878985114,"NO","NONE"
"9","ABCA5|Q8WWZ7",-0.215673334324793,0.210647193651733,-0.628534247326624,0.197187578677038,-1.02386046823567,0.305901184525146,-0.215673334324793,0.210647193651733,-0.628534247326624,0.197187578677038,-1.02386046823567,0.305901184525146,0,NA,NA,NA,0.486883934171975,0.536372048527526,"NO","NONE"
"10","ABCB7|B4DGL8",0.0257141641704762,0.141076815270666,-0.250791312813639,0.302219641154591,0.182270659577492,0.855370323229892,0.0257141641704762,0.141076815270666,-0.250791312813639,0.302219641154591,0.182270659577492,0.855370323229892,0,NA,NA,NA,0.919138706834921,0.928804601457468,"NO","NONE"
"11","ABCB7|O75027",-0.0371022621560055,0.133645466444427,-0.299042563084138,0.224838038772127,-0.277617065083413,0.7813063308619,-0.0623797575563825,0.213608797489937,-0.481045307417569,0.356285792304804,-0.29202803578032,0.770265188348331,2.47020272470212,0.233807641142669,1.57168785854639,0.595174926332984,0.872917303357217,0.881775958039273,"NO","NONE"
"12","ABCB7|O75027-3",0.281184923246167,0.379123167235481,-0.461882830240131,1.02425267673246,0.741671698135813,0.458286271347358,0.281184923246167,0.379123167235481,-0.461882830240131,1.02425267673246,0.741671698135813,0.458286271347358,0,NA,NA,NA,0.63789405269158,0.679354668489075,"NO","NONE"
"13","ABCB8|Q9NUT2-2",0.0779901525803641,0.14112555801211,-0.198610858421489,0.354591163582217,0.552629542649332,0.580517108244072,0.0779901525803641,0.14112555801211,-0.198610858421489,0.354591163582217,0.552629542649332,0.580517108244072,0,NA,NA,NA,0.737903282355906,0.766071355493881,"NO","NONE"
"14","ABCB8|Q9NUT2-5",-0.185389143252882,0.133737126418237,-0.447509094428507,0.0767308079227426,-1.38622047757414,0.165679590459514,-0.181326809346198,0.145369917369353,-0.466246611825693,0.103592993133297,-1.24734754361514,0.212270091727134,1.16973649087905,0.079367113173164,1.08154356864578,0.145106604951249,0.315107711835631,0.432537442023106,"NO","NONE"
"15","ABCD3|P28288",0.0869780114941554,0.094330715433052,-0.0979067933905231,0.271862816378834,0.922053978864234,0.356500420399828,0.135164433701216,0.167814211320887,-0.193745376581716,0.464074243984147,0.80544092563627,0.420565283081036,7.64938416899803,0.25669478591978,1.59680766625143,0.607811565778248,0.541529191965035,0.64979804737999,"NO","NONE"
"16","ABCE1|P61221",-0.0199267368397806,0.0939919867715923,-0.204147645747467,0.164294172067905,-0.212004634907911,0.832103418380137,-0.0231188540346922,0.0971152560843045,-0.213461258309313,0.167223550239929,-0.238055841757994,0.811837783406036,3.02110419808274,0.042848660818296,1.00351120207711,0.00698559092934772,0.903133348899365,0.905247746311187,"NO","NONE"
"17","ABCF1|Q8NE71",0.0365205710511628,0.14108286297758,-0.239996759220694,0.313037901323019,0.2588590157613,0.795744021255131,0.0365205710511628,0.14108286297758,-0.239996759220694,0.313037901323019,0.2588590157613,0.795744021255131,0,NA,NA,NA,0.881418041097697,0.896671873298188,"NO","NONE"
"18","ABCF1|Q8NE71-2",-0.114426073738204,0.133512872603235,-0.376106495513029,0.147254348036622,-0.857041508486209,0.391421945031865,-0.114426073738204,0.133512872603235,-0.376106495513029,0.147254348036622,-0.857041508486209,0.391421945031865,0.771573557542375,0,1,0,0.577672875736997,0.623355363386417,"NO","NONE"
"19","ABCF2|Q9UG63",-0.188017058285468,0.1840713573445,-0.548790289266091,0.172756172695154,-1.02143571383343,0.307048052057982,-0.188017058285468,0.1840713573445,-0.548790289266091,0.172756172695154,-1.02143571383343,0.307048052057982,0.55659739571889,0,1,0,0.488165142115699,0.537523393229741,"NO","NONE"
"20","ABCF3|Q9NUQ8-2",-0.262135565075014,0.21088429640839,-0.675461190940528,0.1511900607905,-1.24303027555628,0.21385667714816,-0.262135565075014,0.21088429640839,-0.675461190940528,0.1511900607905,-1.24303027555628,0.21385667714816,0,NA,NA,NA,0.38251718725178,0.43452310179764,"NO","NONE"
"21","ABETA|",1.40641716730822,0.157860031586588,1.09701719080015,1.71581714381629,8.90926698273707,5.13710697345372e-19,1.40641716730822,0.157860031586588,1.09701719080015,1.71581714381629,8.90926698273707,5.13710697345372e-19,0,NA,NA,NA,8.10378625062325e-17,5.83472610044874e-16,"YES","UP"
"22","ABHD10|Q9NUJ1",-0.430812032688784,0.0950558227978831,-0.617118021893457,-0.244506043484112,-4.53220034300075,5.83724480268293e-06,-0.421200365658984,0.107042635796953,-0.63100007663125,-0.211400654686718,-3.93488410036866,8.32368534323573e-05,3.15131551166476,0.0876983149843028,1.02490902224942,0.0480166175378684,5.04561845273004e-05,0.00105513859518383,"YES","DOWN"
"23","ABHD10|Q9NUJ1-2",-0.367518488827644,0.380593998518355,-1.11346901865571,0.378432041000423,-0.965644466960556,0.334222116430516,-0.367518488827644,0.380593998518355,-1.11346901865571,0.378432041000423,-0.965644466960556,0.334222116430516,0,NA,NA,NA,0.518961993854747,0.566844721863441,"NO","NONE"
"24","ABHD11|Q8NFV4",-0.217241568850776,0.132530694989702,-0.476996957876654,0.0425138201751016,-1.63917927743197,0.101175928258611,-0.217241568850776,0.132530694989702,-0.476996957876654,0.0425138201751016,-1.63917927743197,0.101175928258611,0.0423128272462881,0,1,0,0.217912062207486,0.265889000972872,"NO","NONE"
"25","ABHD11|Q8NFV4-4",-0.153296878606788,0.133532315423209,-0.41501540760852,0.108421650394944,-1.14801333385809,0.250963059389974,-0.153296878606788,0.133532315423209,-0.41501540760852,0.108421650394944,-1.14801333385809,0.250963059389974,0.32605297093522,0,1,0,0.427532024917913,0.478319386267222,"NO","NONE"
